logged_at_utc,ts,device_id,temperature_c,humidity_percent,noise_db,position
2025-11-18T03:27:15Z,2025-11-18T03:27:15Z,safesleep-dev-01,22.0,43.6,43.2,supino
2025-11-18T03:27:18Z,2025-11-18T03:27:18Z,safesleep-dev-01,22.8,66.7,82.4,supino
2025-11-18T03:27:21Z,2025-11-18T03:27:21Z,safesleep-dev-01,28.5,61.5,50.0,supino
2025-11-18T03:27:24Z,2025-11-18T03:27:24Z,safesleep-dev-01,26.8,41.7,43.7,supino
2025-11-18T03:27:27Z,2025-11-18T03:27:27Z,safesleep-dev-01,25.5,40.1,27.6,supino
2025-11-18T03:27:30Z,2025-11-18T03:27:30Z,safesleep-dev-01,26.0,64.6,26.7,prono
2025-11-18T03:27:33Z,2025-11-18T03:27:33Z,safesleep-dev-01,24.2,67.1,61.3,supino
2025-11-18T03:27:36Z,2025-11-18T03:27:36Z,safesleep-dev-01,23.3,66.0,47.7,supino
2025-11-18T03:27:39Z,2025-11-18T03:27:39Z,safesleep-dev-01,28.3,46.5,74.9,supino
2025-11-18T03:27:42Z,2025-11-18T03:27:42Z,safesleep-dev-01,25.8,55.2,50.5,prono
2025-11-18T03:27:45Z,2025-11-18T03:27:45Z,safesleep-dev-01,28.6,36.8,27.4,lateral
2025-11-18T03:27:48Z,2025-11-18T03:27:48Z,safesleep-dev-01,19.2,63.8,61.7,supino
2025-11-18T03:27:51Z,2025-11-18T03:27:51Z,safesleep-dev-01,29.2,49.3,32.3,lateral
2025-11-18T03:27:54Z,2025-11-18T03:27:54Z,safesleep-dev-01,20.8,34.0,83.5,lateral
2025-11-18T03:27:57Z,2025-11-18T03:27:57Z,safesleep-dev-01,21.2,62.0,59.1,lateral
2025-11-18T03:28:00Z,2025-11-18T03:28:00Z,safesleep-dev-01,23.4,65.9,50.8,supino
2025-11-18T03:28:03Z,2025-11-18T03:28:03Z,safesleep-dev-01,24.7,54.4,43.3,prono
2025-11-18T03:28:06Z,2025-11-18T03:28:06Z,safesleep-dev-01,19.1,58.2,20.9,supino
2025-11-18T03:28:09Z,2025-11-18T03:28:09Z,safesleep-dev-01,28.2,30.8,62.4,lateral
2025-11-18T03:28:12Z,2025-11-18T03:28:12Z,safesleep-dev-01,27.9,58.6,88.9,supino
2025-11-18T03:28:15Z,2025-11-18T03:28:15Z,safesleep-dev-01,20.2,66.3,41.9,supino
2025-11-18T03:28:18Z,2025-11-18T03:28:18Z,safesleep-dev-01,20.6,30.8,31.8,lateral
2025-11-18T03:28:21Z,2025-11-18T03:28:21Z,safesleep-dev-01,26.2,33.2,65.3,supino
2025-11-18T03:28:24Z,2025-11-18T03:28:24Z,safesleep-dev-01,18.2,38.6,38.0,lateral
2025-11-18T03:28:27Z,2025-11-18T03:28:27Z,safesleep-dev-01,26.4,53.7,74.3,lateral
2025-11-18T03:28:30Z,2025-11-18T03:28:30Z,safesleep-dev-01,25.1,53.3,77.3,supino
2025-11-18T03:28:33Z,2025-11-18T03:28:33Z,safesleep-dev-01,27.3,61.0,77.8,supino
2025-11-18T03:28:36Z,2025-11-18T03:28:36Z,safesleep-dev-01,20.2,54.6,24.1,prono
2025-11-18T03:28:39Z,2025-11-18T03:28:39Z,safesleep-dev-01,18.4,34.9,76.7,supino
2025-11-18T03:28:42Z,2025-11-18T03:28:42Z,safesleep-dev-01,18.4,32.8,28.4,supino
2025-11-18T03:28:45Z,2025-11-18T03:28:45Z,safesleep-dev-01,28.0,37.4,21.1,supino
2025-11-18T03:28:48Z,2025-11-18T03:28:48Z,safesleep-dev-01,29.8,59.2,69.6,supino
2025-11-18T03:28:51Z,2025-11-18T03:28:51Z,safesleep-dev-01,18.0,33.0,53.3,lateral
2025-11-18T03:28:54Z,2025-11-18T03:28:54Z,safesleep-dev-01,20.7,40.1,75.3,supino
2025-11-18T03:28:57Z,2025-11-18T03:28:57Z,safesleep-dev-01,24.6,58.0,57.9,supino
2025-11-18T03:29:00Z,2025-11-18T03:29:00Z,safesleep-dev-01,26.2,68.7,60.9,lateral
2025-11-18T03:29:03Z,2025-11-18T03:29:03Z,safesleep-dev-01,24.3,43.0,31.2,prono
2025-11-18T03:29:06Z,2025-11-18T03:29:06Z,safesleep-dev-01,18.4,45.6,38.2,prono
2025-11-18T03:29:09Z,2025-11-18T03:29:09Z,safesleep-dev-01,26.4,59.1,54.1,lateral
2025-11-18T03:29:12Z,2025-11-18T03:29:12Z,safesleep-dev-01,29.5,63.5,56.8,lateral
2025-11-18T03:29:15Z,2025-11-18T03:29:15Z,safesleep-dev-01,24.8,42.0,59.4,supino
2025-11-18T03:29:18Z,2025-11-18T03:29:18Z,safesleep-dev-01,20.1,65.2,42.0,prono
2025-11-18T03:29:21Z,2025-11-18T03:29:21Z,safesleep-dev-01,24.5,42.7,63.2,supino
2025-11-18T03:29:24Z,2025-11-18T03:29:24Z,safesleep-dev-01,24.9,62.0,76.4,supino
2025-11-18T03:29:27Z,2025-11-18T03:29:27Z,safesleep-dev-01,21.0,58.8,83.2,lateral
2025-11-18T03:29:30Z,2025-11-18T03:29:30Z,safesleep-dev-01,22.6,56.1,70.9,supino
2025-11-18T03:29:33Z,2025-11-18T03:29:33Z,safesleep-dev-01,19.6,62.2,52.7,supino
2025-11-18T03:29:36Z,2025-11-18T03:29:36Z,safesleep-dev-01,26.5,69.5,41.4,prono
2025-11-18T03:29:39Z,2025-11-18T03:29:39Z,safesleep-dev-01,21.4,44.7,50.7,supino
2025-11-18T03:29:42Z,2025-11-18T03:29:42Z,safesleep-dev-01,25.0,45.2,47.5,lateral
2025-11-18T03:29:45Z,2025-11-18T03:29:45Z,safesleep-dev-01,20.8,51.2,65.9,supino
2025-11-18T03:29:48Z,2025-11-18T03:29:48Z,safesleep-dev-01,28.4,62.2,61.9,supino
2025-11-18T03:29:51Z,2025-11-18T03:29:51Z,safesleep-dev-01,29.5,62.3,50.2,prono
2025-11-18T03:29:54Z,2025-11-18T03:29:54Z,safesleep-dev-01,23.3,43.3,73.9,supino
2025-11-18T03:29:57Z,2025-11-18T03:29:57Z,safesleep-dev-01,27.5,54.5,79.0,prono
2025-11-18T03:30:00Z,2025-11-18T03:30:00Z,safesleep-dev-01,29.1,55.8,38.5,prono
2025-11-18T03:30:03Z,2025-11-18T03:30:03Z,safesleep-dev-01,23.7,65.5,72.7,lateral
2025-11-18T03:30:06Z,2025-11-18T03:30:06Z,safesleep-dev-01,28.0,57.2,26.6,prono
2025-11-18T03:30:09Z,2025-11-18T03:30:09Z,safesleep-dev-01,22.1,60.4,78.4,supino
2025-11-18T03:30:12Z,2025-11-18T03:30:12Z,safesleep-dev-01,19.4,32.1,59.2,supino
2025-11-18T03:30:15Z,2025-11-18T03:30:15Z,safesleep-dev-01,24.7,35.0,20.2,supino
2025-11-18T03:30:18Z,2025-11-18T03:30:18Z,safesleep-dev-01,18.2,58.5,47.6,supino
2025-11-18T03:30:21Z,2025-11-18T03:30:21Z,safesleep-dev-01,20.2,32.5,76.2,supino
2025-11-18T03:30:24Z,2025-11-18T03:30:24Z,safesleep-dev-01,29.8,41.7,78.8,supino
2025-11-18T03:30:27Z,2025-11-18T03:30:27Z,safesleep-dev-01,20.9,45.5,35.5,lateral
2025-11-18T03:30:30Z,2025-11-18T03:30:30Z,safesleep-dev-01,27.3,68.5,57.4,supino
2025-11-18T03:30:33Z,2025-11-18T03:30:33Z,safesleep-dev-01,24.1,38.1,45.3,supino
2025-11-18T03:30:36Z,2025-11-18T03:30:36Z,safesleep-dev-01,29.5,36.2,55.7,supino
2025-11-18T03:30:39Z,2025-11-18T03:30:39Z,safesleep-dev-01,22.6,57.8,42.8,prono
2025-11-18T03:30:42Z,2025-11-18T03:30:42Z,safesleep-dev-01,26.4,65.0,63.6,supino
2025-11-18T03:30:45Z,2025-11-18T03:30:45Z,safesleep-dev-01,22.4,55.7,72.1,supino
2025-11-18T03:30:48Z,2025-11-18T03:30:48Z,safesleep-dev-01,22.0,50.3,82.9,supino
2025-11-18T03:30:51Z,2025-11-18T03:30:51Z,safesleep-dev-01,26.8,32.0,31.1,supino
2025-11-18T03:30:54Z,2025-11-18T03:30:54Z,safesleep-dev-01,29.7,60.5,47.7,lateral
2025-11-18T03:30:57Z,2025-11-18T03:30:57Z,safesleep-dev-01,18.9,53.3,34.7,supino
2025-11-18T03:31:00Z,2025-11-18T03:31:00Z,safesleep-dev-01,27.1,64.4,63.2,supino
2025-11-18T03:31:03Z,2025-11-18T03:31:03Z,safesleep-dev-01,23.8,63.6,70.1,supino
2025-11-18T03:31:06Z,2025-11-18T03:31:06Z,safesleep-dev-01,18.8,54.6,58.4,lateral
2025-11-18T03:31:09Z,2025-11-18T03:31:09Z,safesleep-dev-01,25.5,65.9,78.7,supino
2025-11-18T03:31:12Z,2025-11-18T03:31:12Z,safesleep-dev-01,28.2,36.7,28.7,supino
2025-11-18T03:31:15Z,2025-11-18T03:31:15Z,safesleep-dev-01,27.5,46.1,24.9,prono
2025-11-18T03:31:18Z,2025-11-18T03:31:18Z,safesleep-dev-01,26.5,52.7,81.9,prono
2025-11-18T03:31:21Z,2025-11-18T03:31:21Z,safesleep-dev-01,29.8,67.8,87.7,supino
2025-11-18T03:31:24Z,2025-11-18T03:31:24Z,safesleep-dev-01,19.8,39.0,29.8,supino
2025-11-18T03:31:27Z,2025-11-18T03:31:27Z,safesleep-dev-01,28.6,53.3,90.0,supino
2025-11-18T03:31:31Z,2025-11-18T03:31:31Z,safesleep-dev-01,21.3,58.7,42.8,lateral
2025-11-18T03:31:34Z,2025-11-18T03:31:34Z,safesleep-dev-01,25.9,61.7,52.4,lateral
2025-11-18T03:31:37Z,2025-11-18T03:31:37Z,safesleep-dev-01,19.1,52.1,75.8,prono
2025-11-18T03:31:40Z,2025-11-18T03:31:40Z,safesleep-dev-01,24.6,69.7,60.1,supino
2025-11-18T03:31:43Z,2025-11-18T03:31:43Z,safesleep-dev-01,27.7,63.8,68.0,prono
2025-11-18T03:31:46Z,2025-11-18T03:31:46Z,safesleep-dev-01,27.6,66.1,64.4,supino
2025-11-18T03:31:49Z,2025-11-18T03:31:49Z,safesleep-dev-01,22.4,45.8,51.6,lateral
2025-11-18T03:31:52Z,2025-11-18T03:31:52Z,safesleep-dev-01,18.9,44.5,39.1,lateral
2025-11-18T03:31:55Z,2025-11-18T03:31:55Z,safesleep-dev-01,27.4,52.3,78.4,prono
2025-11-18T03:31:58Z,2025-11-18T03:31:58Z,safesleep-dev-01,18.9,34.7,78.2,supino
2025-11-18T03:32:01Z,2025-11-18T03:32:01Z,safesleep-dev-01,18.4,64.3,35.9,supino
2025-11-18T03:32:04Z,2025-11-18T03:32:04Z,safesleep-dev-01,26.5,37.0,61.0,supino
2025-11-18T03:32:07Z,2025-11-18T03:32:07Z,safesleep-dev-01,24.3,31.8,56.1,lateral
2025-11-18T03:32:10Z,2025-11-18T03:32:10Z,safesleep-dev-01,25.6,51.4,66.5,lateral
2025-11-18T03:32:13Z,2025-11-18T03:32:13Z,safesleep-dev-01,23.4,41.2,81.5,supino
2025-11-18T03:32:16Z,2025-11-18T03:32:16Z,safesleep-dev-01,21.8,68.1,50.7,lateral
2025-11-18T03:32:19Z,2025-11-18T03:32:19Z,safesleep-dev-01,23.3,43.9,71.3,lateral
2025-11-18T03:32:22Z,2025-11-18T03:32:22Z,safesleep-dev-01,25.7,63.0,30.1,lateral
2025-11-18T03:32:25Z,2025-11-18T03:32:25Z,safesleep-dev-01,26.8,53.1,22.4,prono
2025-11-18T03:32:28Z,2025-11-18T03:32:28Z,safesleep-dev-01,19.1,47.0,42.7,prono
2025-11-18T03:32:31Z,2025-11-18T03:32:31Z,safesleep-dev-01,23.8,42.2,49.7,prono
2025-11-18T03:32:34Z,2025-11-18T03:32:34Z,safesleep-dev-01,20.2,42.4,41.1,supino
2025-11-18T03:32:37Z,2025-11-18T03:32:37Z,safesleep-dev-01,23.3,32.9,62.8,prono
2025-11-18T03:32:40Z,2025-11-18T03:32:40Z,safesleep-dev-01,27.3,32.4,43.7,supino
2025-11-18T03:32:43Z,2025-11-18T03:32:43Z,safesleep-dev-01,25.6,34.5,36.9,lateral
2025-11-18T03:32:46Z,2025-11-18T03:32:46Z,safesleep-dev-01,28.1,43.0,51.3,lateral
2025-11-18T03:32:49Z,2025-11-18T03:32:49Z,safesleep-dev-01,24.6,43.2,79.8,supino
2025-11-18T03:32:52Z,2025-11-18T03:32:52Z,safesleep-dev-01,27.1,41.1,70.8,prono
2025-11-18T03:32:55Z,2025-11-18T03:32:55Z,safesleep-dev-01,24.2,66.3,88.5,lateral
2025-11-18T03:32:58Z,2025-11-18T03:32:58Z,safesleep-dev-01,20.5,59.1,56.3,supino
2025-11-18T03:33:01Z,2025-11-18T03:33:01Z,safesleep-dev-01,28.5,34.4,82.3,supino
2025-11-18T03:33:04Z,2025-11-18T03:33:04Z,safesleep-dev-01,22.1,48.4,89.0,supino
2025-11-18T03:33:07Z,2025-11-18T03:33:07Z,safesleep-dev-01,20.0,31.4,75.9,supino
2025-11-18T03:33:10Z,2025-11-18T03:33:10Z,safesleep-dev-01,29.6,42.6,34.1,supino
2025-11-18T03:33:13Z,2025-11-18T03:33:13Z,safesleep-dev-01,21.9,51.8,71.9,lateral
2025-11-18T03:33:16Z,2025-11-18T03:33:16Z,safesleep-dev-01,22.8,66.9,57.9,prono
2025-11-18T03:33:19Z,2025-11-18T03:33:19Z,safesleep-dev-01,24.0,64.6,49.3,supino
2025-11-18T03:33:22Z,2025-11-18T03:33:22Z,safesleep-dev-01,27.6,64.3,50.2,supino
2025-11-18T03:33:25Z,2025-11-18T03:33:25Z,safesleep-dev-01,25.6,54.2,24.0,lateral
2025-11-18T03:33:28Z,2025-11-18T03:33:28Z,safesleep-dev-01,28.5,37.6,76.6,supino
2025-11-18T03:33:31Z,2025-11-18T03:33:31Z,safesleep-dev-01,28.8,58.8,40.8,prono
2025-11-18T03:33:34Z,2025-11-18T03:33:34Z,safesleep-dev-01,28.1,63.2,72.5,supino
2025-11-18T03:33:37Z,2025-11-18T03:33:37Z,safesleep-dev-01,21.4,64.5,85.4,supino
2025-11-18T03:33:40Z,2025-11-18T03:33:40Z,safesleep-dev-01,25.2,51.5,65.1,supino
2025-11-18T03:33:43Z,2025-11-18T03:33:43Z,safesleep-dev-01,21.5,49.6,40.5,prono
2025-11-18T03:33:46Z,2025-11-18T03:33:46Z,safesleep-dev-01,24.9,53.9,67.9,supino
2025-11-18T03:33:49Z,2025-11-18T03:33:49Z,safesleep-dev-01,25.8,61.1,37.2,supino
2025-11-18T03:33:52Z,2025-11-18T03:33:52Z,safesleep-dev-01,18.3,42.1,41.1,supino
2025-11-18T03:33:55Z,2025-11-18T03:33:55Z,safesleep-dev-01,27.7,51.7,62.5,prono
2025-11-18T03:33:58Z,2025-11-18T03:33:58Z,safesleep-dev-01,23.5,35.4,56.4,supino
2025-11-18T03:34:01Z,2025-11-18T03:34:01Z,safesleep-dev-01,28.5,69.7,72.7,supino
2025-11-18T03:34:04Z,2025-11-18T03:34:04Z,safesleep-dev-01,27.3,54.3,29.4,lateral
2025-11-18T03:34:07Z,2025-11-18T03:34:07Z,safesleep-dev-01,24.9,63.1,87.9,supino
2025-11-18T03:34:10Z,2025-11-18T03:34:10Z,safesleep-dev-01,20.1,34.0,36.2,supino
2025-11-18T03:34:13Z,2025-11-18T03:34:13Z,safesleep-dev-01,28.1,56.0,56.5,lateral
2025-11-18T03:34:16Z,2025-11-18T03:34:16Z,safesleep-dev-01,27.4,59.1,25.6,prono
2025-11-18T03:34:19Z,2025-11-18T03:34:19Z,safesleep-dev-01,27.8,66.0,71.3,supino
2025-11-18T03:34:22Z,2025-11-18T03:34:22Z,safesleep-dev-01,23.9,35.1,49.0,prono
2025-11-18T03:34:25Z,2025-11-18T03:34:25Z,safesleep-dev-01,28.2,65.6,22.8,supino
2025-11-18T03:34:28Z,2025-11-18T03:34:28Z,safesleep-dev-01,28.4,63.3,25.0,prono
2025-11-18T03:34:31Z,2025-11-18T03:34:31Z,safesleep-dev-01,23.9,66.9,37.3,supino
2025-11-18T03:34:34Z,2025-11-18T03:34:34Z,safesleep-dev-01,20.0,40.3,46.2,lateral
2025-11-18T03:34:37Z,2025-11-18T03:34:37Z,safesleep-dev-01,21.4,53.3,25.2,lateral
2025-11-18T03:34:40Z,2025-11-18T03:34:40Z,safesleep-dev-01,18.6,63.2,46.6,supino
2025-11-18T03:34:43Z,2025-11-18T03:34:43Z,safesleep-dev-01,18.4,63.1,61.1,supino
2025-11-18T03:34:46Z,2025-11-18T03:34:46Z,safesleep-dev-01,24.5,63.6,26.0,supino
2025-11-18T03:34:49Z,2025-11-18T03:34:49Z,safesleep-dev-01,21.8,33.3,59.8,supino
2025-11-18T03:34:52Z,2025-11-18T03:34:52Z,safesleep-dev-01,19.8,47.1,84.4,lateral
2025-11-18T03:34:55Z,2025-11-18T03:34:55Z,safesleep-dev-01,25.7,32.5,50.0,supino
2025-11-18T03:34:58Z,2025-11-18T03:34:58Z,safesleep-dev-01,25.8,33.2,76.6,supino
2025-11-18T03:35:01Z,2025-11-18T03:35:01Z,safesleep-dev-01,21.3,58.1,51.8,prono
2025-11-18T03:35:04Z,2025-11-18T03:35:04Z,safesleep-dev-01,28.3,41.4,60.0,supino
2025-11-18T03:35:07Z,2025-11-18T03:35:07Z,safesleep-dev-01,29.9,53.8,20.7,supino
2025-11-18T03:35:10Z,2025-11-18T03:35:10Z,safesleep-dev-01,22.6,64.1,84.2,supino
2025-11-18T03:35:13Z,2025-11-18T03:35:13Z,safesleep-dev-01,18.3,30.3,68.4,supino
2025-11-18T03:35:16Z,2025-11-18T03:35:16Z,safesleep-dev-01,24.8,49.1,48.7,supino
2025-11-18T03:35:19Z,2025-11-18T03:35:19Z,safesleep-dev-01,18.6,36.0,77.4,lateral
2025-11-18T03:35:22Z,2025-11-18T03:35:22Z,safesleep-dev-01,20.5,33.9,27.9,supino
2025-11-18T03:35:25Z,2025-11-18T03:35:25Z,safesleep-dev-01,25.0,56.2,78.7,supino
2025-11-18T03:35:28Z,2025-11-18T03:35:28Z,safesleep-dev-01,22.5,63.0,54.3,prono
2025-11-18T03:35:31Z,2025-11-18T03:35:31Z,safesleep-dev-01,29.4,45.3,33.9,supino
2025-11-18T03:35:34Z,2025-11-18T03:35:34Z,safesleep-dev-01,29.3,47.3,25.7,supino
2025-11-18T03:35:37Z,2025-11-18T03:35:37Z,safesleep-dev-01,26.5,30.3,85.0,supino
2025-11-18T03:35:40Z,2025-11-18T03:35:40Z,safesleep-dev-01,27.1,34.0,50.3,lateral
2025-11-18T03:35:43Z,2025-11-18T03:35:43Z,safesleep-dev-01,25.2,57.6,34.5,supino
2025-11-18T03:35:46Z,2025-11-18T03:35:46Z,safesleep-dev-01,25.5,54.3,32.3,supino
2025-11-18T03:35:49Z,2025-11-18T03:35:49Z,safesleep-dev-01,25.3,68.6,76.1,lateral
2025-11-18T03:35:52Z,2025-11-18T03:35:52Z,safesleep-dev-01,25.2,40.3,63.2,supino
2025-11-18T03:35:55Z,2025-11-18T03:35:55Z,safesleep-dev-01,21.6,50.0,79.6,lateral
2025-11-18T03:35:58Z,2025-11-18T03:35:58Z,safesleep-dev-01,22.3,58.6,78.4,lateral
2025-11-18T03:36:01Z,2025-11-18T03:36:01Z,safesleep-dev-01,18.9,54.4,29.9,supino
2025-11-18T03:36:04Z,2025-11-18T03:36:04Z,safesleep-dev-01,29.3,35.2,20.2,supino
2025-11-18T03:36:07Z,2025-11-18T03:36:07Z,safesleep-dev-01,21.8,47.4,50.0,lateral
2025-11-18T03:36:10Z,2025-11-18T03:36:10Z,safesleep-dev-01,28.0,43.5,26.2,supino
2025-11-18T03:36:13Z,2025-11-18T03:36:13Z,safesleep-dev-01,23.5,68.7,70.0,lateral
2025-11-18T03:36:16Z,2025-11-18T03:36:16Z,safesleep-dev-01,18.4,58.6,46.6,supino
2025-11-18T03:36:19Z,2025-11-18T03:36:19Z,safesleep-dev-01,23.3,60.1,23.7,supino
2025-11-18T03:36:22Z,2025-11-18T03:36:22Z,safesleep-dev-01,20.8,52.8,75.8,supino
2025-11-18T03:36:25Z,2025-11-18T03:36:25Z,safesleep-dev-01,23.4,39.0,20.4,supino
2025-11-18T03:36:28Z,2025-11-18T03:36:28Z,safesleep-dev-01,22.3,44.9,32.9,supino
2025-11-18T03:36:31Z,2025-11-18T03:36:31Z,safesleep-dev-01,25.4,56.6,20.2,supino
2025-11-18T03:36:34Z,2025-11-18T03:36:34Z,safesleep-dev-01,27.5,52.2,37.6,lateral
2025-11-18T03:36:37Z,2025-11-18T03:36:37Z,safesleep-dev-01,26.6,53.0,81.9,lateral
2025-11-18T03:36:40Z,2025-11-18T03:36:40Z,safesleep-dev-01,27.5,35.5,77.1,supino
2025-11-18T03:36:43Z,2025-11-18T03:36:43Z,safesleep-dev-01,20.4,31.0,68.3,lateral
2025-11-18T03:36:46Z,2025-11-18T03:36:46Z,safesleep-dev-01,23.3,44.0,73.0,lateral
2025-11-18T03:36:49Z,2025-11-18T03:36:49Z,safesleep-dev-01,29.1,52.7,70.1,lateral
2025-11-18T03:36:52Z,2025-11-18T03:36:52Z,safesleep-dev-01,29.8,42.8,64.0,supino
2025-11-18T03:36:55Z,2025-11-18T03:36:55Z,safesleep-dev-01,27.7,42.4,23.2,supino
2025-11-18T03:36:58Z,2025-11-18T03:36:58Z,safesleep-dev-01,19.4,48.8,47.6,supino
2025-11-18T03:37:01Z,2025-11-18T03:37:01Z,safesleep-dev-01,24.6,43.5,71.4,supino
2025-11-18T03:37:04Z,2025-11-18T03:37:04Z,safesleep-dev-01,25.6,48.6,76.2,supino
2025-11-18T03:37:07Z,2025-11-18T03:37:07Z,safesleep-dev-01,20.3,36.6,24.8,supino
2025-11-18T03:37:10Z,2025-11-18T03:37:10Z,safesleep-dev-01,26.9,41.5,41.6,supino
2025-11-18T03:37:13Z,2025-11-18T03:37:13Z,safesleep-dev-01,24.3,49.9,67.7,prono
2025-11-18T03:37:16Z,2025-11-18T03:37:16Z,safesleep-dev-01,29.2,64.7,28.2,supino
2025-11-18T03:37:19Z,2025-11-18T03:37:19Z,safesleep-dev-01,24.5,60.8,85.7,supino
2025-11-18T03:37:22Z,2025-11-18T03:37:22Z,safesleep-dev-01,24.9,41.9,43.0,supino
2025-11-18T03:37:25Z,2025-11-18T03:37:25Z,safesleep-dev-01,22.2,40.5,89.1,supino
2025-11-18T03:37:28Z,2025-11-18T03:37:28Z,safesleep-dev-01,21.2,69.9,60.0,supino
2025-11-18T03:37:31Z,2025-11-18T03:37:31Z,safesleep-dev-01,28.5,58.9,48.1,lateral
2025-11-18T03:37:34Z,2025-11-18T03:37:34Z,safesleep-dev-01,26.3,61.6,38.3,lateral
2025-11-18T03:37:37Z,2025-11-18T03:37:37Z,safesleep-dev-01,24.1,32.2,55.0,prono
2025-11-18T03:37:40Z,2025-11-18T03:37:40Z,safesleep-dev-01,27.2,63.0,44.6,supino
2025-11-18T03:37:43Z,2025-11-18T03:37:43Z,safesleep-dev-01,20.5,32.4,20.5,supino
2025-11-18T03:37:46Z,2025-11-18T03:37:46Z,safesleep-dev-01,28.1,35.7,62.0,supino
2025-11-18T03:37:49Z,2025-11-18T03:37:49Z,safesleep-dev-01,18.9,64.0,55.0,supino
2025-11-18T03:37:52Z,2025-11-18T03:37:52Z,safesleep-dev-01,22.8,59.2,69.0,supino
2025-11-18T03:37:55Z,2025-11-18T03:37:55Z,safesleep-dev-01,21.9,33.8,66.1,lateral
2025-11-18T03:37:58Z,2025-11-18T03:37:58Z,safesleep-dev-01,19.9,54.4,87.7,supino
2025-11-18T03:38:01Z,2025-11-18T03:38:01Z,safesleep-dev-01,25.5,69.2,89.8,supino
2025-11-18T03:38:04Z,2025-11-18T03:38:04Z,safesleep-dev-01,27.2,40.2,68.1,supino
2025-11-18T03:38:07Z,2025-11-18T03:38:07Z,safesleep-dev-01,19.2,35.0,76.6,prono
2025-11-18T03:38:10Z,2025-11-18T03:38:10Z,safesleep-dev-01,23.3,63.2,83.0,lateral
2025-11-18T03:38:13Z,2025-11-18T03:38:13Z,safesleep-dev-01,19.1,32.3,34.3,lateral
2025-11-18T03:38:16Z,2025-11-18T03:38:16Z,safesleep-dev-01,29.0,36.9,84.9,lateral
2025-11-18T03:38:19Z,2025-11-18T03:38:19Z,safesleep-dev-01,21.6,42.3,20.5,prono
2025-11-18T03:38:22Z,2025-11-18T03:38:22Z,safesleep-dev-01,18.5,45.2,50.0,supino
2025-11-18T03:40:52Z,2025-11-18T03:40:52Z,safesleep-dev-01,26.0,58.3,81.0,supino
2025-11-18T03:40:55Z,2025-11-18T03:40:55Z,safesleep-dev-01,21.4,30.8,31.5,supino
2025-11-18T03:40:58Z,2025-11-18T03:40:58Z,safesleep-dev-01,23.6,34.3,64.2,supino
2025-11-18T03:41:01Z,2025-11-18T03:41:01Z,safesleep-dev-01,22.3,48.1,54.5,supino
2025-11-18T03:41:04Z,2025-11-18T03:41:04Z,safesleep-dev-01,23.9,61.4,56.1,supino
2025-11-18T03:41:07Z,2025-11-18T03:41:07Z,safesleep-dev-01,25.2,65.1,35.1,lateral
2025-11-18T03:41:10Z,2025-11-18T03:41:10Z,safesleep-dev-01,20.1,63.2,35.5,prono
2025-11-18T03:41:13Z,2025-11-18T03:41:13Z,safesleep-dev-01,22.0,37.4,35.4,lateral
2025-11-18T03:41:16Z,2025-11-18T03:41:16Z,safesleep-dev-01,28.8,68.2,44.6,supino
